[Header]\r\n[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2013-12-11 15:13:30,588 [11] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 16:54:53,798 [4] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:54:53,954 [4] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:54:57,163 [6] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:55:01,033 [15] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:55:01,034 [15] DEBUG BWCMAPI.Global Tried to serialize unknown class: BWCMAPI.data.Player
2013-12-11 16:55:01,034 [15] DEBUG BWCMAPI.Global Tried to serialize unknown class: BWCMAPI.data.Player
2013-12-11 16:55:01,034 [15] DEBUG BWCMAPI.Global Tried to serialize unknown class: BWCMAPI.data.Player
2013-12-11 16:55:22,292 [14] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:55:30,316 [6] DEBUG BWCMAPI.Global startup
2013-12-11 16:55:30,323 [6] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:55:30,323 [6] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:55:30,486 [6] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:55:37,381 [4] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:56:28,496 [9] DEBUG BWCMAPI.Global api request = /users/update
2013-12-11 16:56:30,413 [13] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-11 16:56:34,748 [12] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:56:38,186 [4] DEBUG BWCMAPI.Global api request = /players
2013-12-11 17:05:27,560 [9] DEBUG BWCMAPI.Global shutting down
2013-12-11 17:59:34,734 [19] DEBUG BWCMAPI.Global startup
2013-12-11 17:59:34,749 [19] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 17:59:34,749 [19] DEBUG BWCMAPI.Global user name = newby
2013-12-11 17:59:34,789 [19] DEBUG BWCMAPI.Global api request = /touch
2013-12-11 19:29:32,551 [16] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:48:43,662 [21] DEBUG BWCMAPI.Global startup
2013-12-11 20:48:43,670 [21] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:48:43,670 [21] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:48:44,572 [21] DEBUG BWCMAPI.Global Scala.loadData
2013-12-11 20:48:44,574 [21] DEBUG BWCMAPI.Global Scala.loadData: System.NullReferenceException: Object reference not set to an instance of an object.
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 45
2013-12-11 20:48:44,574 [21] DEBUG BWCMAPI.Global end Scala.loadData
2013-12-11 20:48:44,734 [21] DEBUG BWCMAPI.Global api request = /players
2013-12-11 20:49:13,586 [21] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:49:19,115 [4] DEBUG BWCMAPI.Global startup
2013-12-11 20:49:19,123 [4] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:49:19,123 [4] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:49:19,869 [4] DEBUG BWCMAPI.Global Scala.loadData
2013-12-11 20:49:22,136 [4] DEBUG BWCMAPI.Global Scala.loadData: System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: No connection could be made because the target machine actively refused it 127.0.0.1:8080
   at System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot, SocketAddress socketAddress)
   at System.Net.Sockets.Socket.InternalConnect(EndPoint remoteEP)
   at System.Net.ServicePoint.ConnectSocketInternal(Boolean connectFailure, Socket s4, Socket s6, Socket& socket, IPAddress& address, ConnectSocketState state, IAsyncResult asyncResult, Int32 timeout, Exception& exception)
   --- End of inner exception stack trace ---
   at System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   at System.Net.HttpWebRequest.GetRequestStream()
   at System.Web.Services.Protocols.SoapHttpClientProtocol.Invoke(String methodName, Object[] parameters)
   at ScalaWS.Playlist.playlistService.listCategories(searchCriteriaTO[] searchCriteria, listResultCriteriaTO listResult) in C:\Zenith\Experiments\Scala\ScalaWS\playlistService.cs:line 2055
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 47
2013-12-11 20:49:22,136 [4] DEBUG BWCMAPI.Global end Scala.loadData
2013-12-11 20:49:22,297 [4] DEBUG BWCMAPI.Global api request = /players
2013-12-11 20:49:51,619 [4] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:50:00,437 [4] DEBUG BWCMAPI.Global startup
2013-12-11 20:50:00,445 [4] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:50:00,445 [4] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:50:01,175 [4] DEBUG BWCMAPI.Global Scala.loadData
2013-12-11 20:50:02,742 [4] DEBUG BWCMAPI.Global Scala.loadData: System.Net.WebException: The request failed with HTTP status 401: Unauthorized.
   at System.Web.Services.Protocols.SoapHttpClientProtocol.ReadResponse(SoapClientMessage message, WebResponse response, Stream responseStream, Boolean asyncCall)
   at System.Web.Services.Protocols.SoapHttpClientProtocol.Invoke(String methodName, Object[] parameters)
   at ScalaWS.Playlist.playlistService.listCategories(searchCriteriaTO[] searchCriteria, listResultCriteriaTO listResult) in C:\Zenith\Experiments\Scala\ScalaWS\playlistService.cs:line 2055
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 47
2013-12-11 20:50:02,742 [4] DEBUG BWCMAPI.Global end Scala.loadData
2013-12-11 20:50:02,762 [4] DEBUG BWCMAPI.Global api request = /players
2013-12-11 20:50:21,944 [18] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:57:25,426 [9] DEBUG BWCMAPI.Global startup
2013-12-11 20:57:25,434 [9] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:57:25,434 [9] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:57:26,243 [9] DEBUG BWCMAPI.Global Scala.loadData
